,Age,Severity Score,Length of Stay,Billing Amount,Num Procedures,Num Medications,BMI,Systolic BP,Diastolic BP,Lab Score,Satisfaction,Readmitted (0/1)
Age,1.0,0.5638,0.4159,0.3901,0.2664,0.2634,0.0012,0.5764,0.3877,-0.0094,-0.0558,0.1227
Severity Score,0.5638,1.0,0.734,0.681,0.4717,0.4599,0.0027,0.3303,0.2233,-0.0032,-0.0952,0.1349
Length of Stay,0.4159,0.734,1.0,0.8193,0.3456,0.3417,0.0023,0.2406,0.1683,-0.0027,-0.0695,0.1021
Billing Amount,0.3901,0.681,0.8193,1.0,0.3996,0.3345,0.0046,0.2247,0.1603,-0.0055,-0.0634,0.0931
Num Procedures,0.2664,0.4717,0.3456,0.3996,1.0,0.221,0.0001,0.1563,0.1068,-0.0017,-0.0462,0.0628
Num Medications,0.2634,0.4599,0.3417,0.3345,0.221,1.0,0.0044,0.1521,0.1067,-0.001,-0.0374,0.0579
BMI,0.0012,0.0027,0.0023,0.0046,0.0001,0.0044,1.0,-0.0014,-0.0005,-0.0037,-0.0039,-0.004
Systolic BP,0.5764,0.3303,0.2406,0.2247,0.1563,0.1521,-0.0014,1.0,0.2285,-0.0099,-0.0323,0.0686
Diastolic BP,0.3877,0.2233,0.1683,0.1603,0.1068,0.1067,-0.0005,0.2285,1.0,-0.0032,-0.0231,0.0478
Lab Score,-0.0094,-0.0032,-0.0027,-0.0055,-0.0017,-0.001,-0.0037,-0.0099,-0.0032,1.0,0.0022,0.0023
Satisfaction,-0.0558,-0.0952,-0.0695,-0.0634,-0.0462,-0.0374,-0.0039,-0.0323,-0.0231,0.0022,1.0,-0.0112
Readmitted (0/1),0.1227,0.1349,0.1021,0.0931,0.0628,0.0579,-0.004,0.0686,0.0478,0.0023,-0.0112,1.0
